paperid,author,title,year,journal,doi
1,Currie et al,Climate change is not a major driver of shifts in the geographical distributions of north american birds,2017,Global Ecology and Biogeography,10.1111/geb.12538
2,Kelly and Goulden,Rapid shifts in plant distribution with recent climate change,2008,PNAS,10.1073/pnas.0802891105
5,Morelli et al,Anthropogenic refugia ameliorate the severe climate-related decline of a montane mammal along its trailing edge,2012,Proceedings of the Royal Society B - Biological Sciences,10.1098/rspb.2012.1301
6,Sultaire et al,Climate change surpasses land-use change in the contracting range boundary of a winter-adapted mammal,2016,Proceedings of the Royal Society B - Biological Sciences,10.1098/rspb.2015.3104
7,Perry et al,Climate change and distribution shifts in marine fishes,2005,Science,10.1126/science.1111322
8,Lenoir et al,A significant upward shift in plant species optimum elevation during the 20th century,2008,Science,10.1126/science.1156831
9,Moritz et al,"Impact of a century of climate change on small-mammal communities in yosemite national park, usa",2008,Science,10.1126/science.1163428
10,Parmesan et al,Poleward shifts in geographical ranges of butterfly species associated with regional warming,1999,Nature,10.1038/21181
14,Hitch and Leberg,Breeding distributions of north american bird species moving north as a result of climate change,2007,Conservation Biology,10.1111/j.1523-1739.2006.00609.x
15,Tingley et al,The push and pull of climate change causes heterogeneous shifts in avian elevational ranges,2012,Global Change Biology,10.1111/j.1365-2486.2012.02784.x
16,Walther et al,An ecological 'footprint' of climate change,2005,Proceedings of the Royal Society B - Biological Sciences,10.1098/rspb.2005.3119
18,Dulvy et al,Climate change and deepening of the north sea fish assemblage: a biotic indicator of warming seas,2008,Journal of Applied Ecology,10.1111/j.1365-2664.2008.01488.x
22,Battisti et al,Expansion of geographic range in the pine processionary moth caused by increased winter temperatures,2005,Ecological Applications,10.1890/04-1903
26,Mueter and Litzow,Sea ice retreat alters the biogeography of the bering sea continental shelf,2008,Ecological Applications,10.1890/07-0564.1
27,Pinsky et al,Marine taxa track local climate velocities,2013,Science,10.1126/science.1239352
30,Wilson et al,Changes to the elevational limits and extent of species ranges associated with climate change,2005,Ecology Letters,10.1111/j.1461-0248.2005.00824.x
35,Nye et al,Changing spatial distribution of fish stocks in relation to climate and population size on the northeast united states continental shelf,2009,Marine Ecology Progress Series,10.3354/meps08220
36,Jepsen et al,Climate change and outbreaks of the geometrids operophtera brumata and epirrita autumnata in subarctic birch forest: evidence of a recent outbreak range expansion,2008,Journal of Animal Ecology,10.1111/j.1365-2656.2007.01339.x
37,Thomas et al,Ecological and evolutionary processes at expanding range margins,2001,Nature,10.1038/35079066
40,Crimmins et al,Changes in climatic water balance drive downhill shifts in plant species' optimum elevations,2011,Science,10.1126/science.1199040
41,Lindgren et al,Impact of climatic change on the northern latitude limit and population density of the disease-transmitting european tick ixodes ricinus,2000,Environmental Health Perspectives,10.1289/ehp.00108119
43,Hickling et al,A northward shift of range margins in british odonata,2005,Global Change Biology,10.1111/j.1365-2486.2005.00904.x
44,Maclean et al,Climate change causes rapid changes in the distribution and site abundance of birds in winter,2008,Global Change Biology,10.1111/j.1365-2486.2008.01666.x
46,Lehikoinen et al,Rapid climate driven shifts in wintering distributions of three common waterbird species,2013,Global Change Biology,10.1111/gcb.12200
48,Penuelas and Boada,A global change-induced biome shift in the montseny mountains (ne spain),2003,Global Change Biology,10.1046/j.1365-2486.2003.00566.x
49,Yamano et al,Rapid poleward range expansion of tropical reef corals in response to rising sea surface temperatures,2011,Geophysical Research Letters,10.1029/2010GL046474
50,Franco et al,Impacts of climate warming and habitat loss on extinctions at species' low-latitude range boundaries,2006,Global Change Biology,10.1111/j.1365-2486.2006.01180.x
51,Raxworthy et al,Extinction vulnerability of tropical montane endemism from warming and upslope displacement: a preliminary appraisal for the highest massif in madagascar,2008,Global Change Biology,10.1111/j.1365-2486.2008.01596.x
52,Hill et al,Impacts of landscape structure on butterfly range expansion,2001,Ecology Letters,10.1046/j.1461-0248.2001.00222.x
53,Kullman,Rapid recent range-margin rise of tree and shrub species in the swedish scandes,2002,Journal of Ecology,10.1046/j.0022-0477.2001.00630.x
56,Foden et al,A changing climate is eroding the geographical range of the namib desert tree aloe through population declines and dispersal lags,2007,Diversity and Distributions,10.1111/j.1472-4642.2007.00391.x
59,Konvicka et al,Uphill shifts in distribution of butterflies in the czech republic: effects of changing climate detected on a regional scale,2003,Global Ecology and Biogeography,10.1046/j.1466-822X.2003.00053.x
60,Chen et al,Elevation increases in moth assemblages over 42 years on a tropical mountain,2009,Ecology Letters,10.1073/pnas.0809320106
69,Lesica and McCune,Decline of arctic-alpine plants at the southern margin of their range following a decade of climatic warming,2004,Journal of Vegetation Science,10.1658/1100-9233(2004)015[0679:DOAPAT]2.0.CO;2
70,Stewart et al,Revisiting the past to foretell the future: summer temperature and habitat area predict pika extirpations in california,2015,Journal of Biogeography,10.1111/jbi.12466
71,Freeman and Class Freeman,Rapid upslope shifts in new guinean birds illustrate strong distributional responses of tropical montane species to global warming,2014,Proceedings of the National Academy of Sciences of the United States of America,10.1073/pnas.1318190111
72,Klanderud and Birks,Recent increases in species richness and shifts in altitudinal distributions of norwegian mountain plants,2003,Holocene,10.1191/0959683603hl589ft
73,La Sorte and Thompson,Poleward shifts in winter ranges of north american birds,2007,Ecology Letters,10.1890/06-1072.1
74,Morueta-Holme et al,Strong upslope shifts in chimborazo's vegetation over two centuries since humboldt,2015,Proceedings of the National Academy of Sciences of the United States of America,10.1073/pnas.1509938112
75,Zuckerberg et al,Poleward shifts in breeding bird distributions in new york state,2009,Global Change Biology,10.1111/j.1365-2486.2009.01878.x
76,Hiddink et al,Temperature tracking by north sea benthic invertebrates in response to climate change,2015,Global Change Biology,10.1111/gcb.12726
77,Telwala et al,Climate-induced elevational range shifts and increase in plant species richness in a himalayan biodiversity epicentre,2013,Plos One,10.1371/journal.pone.0057103
78,Frei et al,Plant species' range shifts in mountainous areas-all uphill from here?,2010,Botanica Helvetica,10.1007/s00035-010-0076-y
79,Rowe et al,Range dynamics of small mammals along an elevational gradient over an 80-year interval,2010,Global Change Biology,10.1111/j.1365-2486.2009.02150.x
80,Comte et al,Do stream fish track climate change? Assessing distribution shifts in recent decades,2013,Ecography,10.1111/j.1600-0587.2013.00282.x
81,Rivadeneira et al,Shifts in southern endpoints of distribution in rocky intertidal species along the south-eastern pacific coast,2005,Journal of Biogeography,10.1111/j.1365-2699.2004.01133.x
82,Puce et al,"Long-term changes in hydroid (cnidaria, hydrozoa) assemblages: effect of mediterranean warming?",2009,Marine Ecology - An Evolutionary Perspective,10.1111/j.1439-0485.2009.00283.x
84,Lenoir et al,Forest plant community changes during 1989-2007 in response to climate warming in the jura mountains (france and switzerland),2010,Journal of Vegetation Science,10.1111/j.1654-1103.2010.01201.x
85,Wethey and Woodin,Ecological hindcasting of biogeographic responses to climate change in the european intertidal zone,2008,Hydrobiologia,10.1007/s10750-008-9338-8
86,Le Roux and McGeoch,Rapid range expansion and community reorganization in response to warming,2008,Global Change Biology,10.1111/j.1365-2486.2008.01687.x
